央视频道,#genre#
CCTV1,http://8.138.7.223/【公众号：榴芒电视】/cctv1.m3u8#http://8.138.7.223/tv/ptbtv.php?id=27#https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8#http://8.138.7.223/tv/dl/careryun.php?id=1$LR•IPV4『线路157』#http://39.164.180.36:19901/tsfile/live/0001_2.m3u8?key=txiptv&playlive=0&authid=0#http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8#http://221.226.4.10:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路195』#http://8.138.7.223/tv/mgitv.php?id=7$LR•IPV4『线路214』#http://183.196.25.171:808/hls/1/index.m3u8#https://live.goodiptv.club/api/bestv.php?id=cctv1hd8m/8000000#http://cyz32.livehbindex.hbcatv.cn/live/50000020935c4d59965a1cbf159c9be9.m3u8?bitrate=2300&pt=5#http://api2.52tb.xyz/info?id=2&token=20230326xflvzc#http://192.168.0.5:35455/rptv/G_CCTV-1-AVS-4K264.m3u8?license=gitv#http://192.168.0.5:35455/gaoma/cctv1.m3u8#http://192.168.0.5:35455/itv/6000000001000029752.m3u8?cdn=wasusyt#http://192.168.0.5:35455/itv/5000000004000002226.m3u8?cdn=bestzb#http://192.168.0.5:35455/itv/1000000005000265001.m3u8?cdn=ystenlive#http://8.138.7.223/tv/dl/douyincdn.php?id=1$LR•IPV4『线路155』#http://39.164.180.36:19901/tsfile/live/0001_2.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路200』#http://play.kankanlive.com/live/1661761962676984.m3u8#http://112.101.78.50:9901/tsfile/live/0001_1.m3u8
CCTV-1,http://61.138.128.226:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://8.138.7.223/tv/dl/careryun.php?id=2$LR•IPV4『线路148』#http://8.138.7.223/tv/dl/douyincdn.php?id=2$LR•IPV4『线路146』#http://222.169.85.8:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://39.164.180.36:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0#http://222.169.85.8:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路251』#http://39.164.160.249:9901/tsfile/live/0002_1.m3u8#http://183.196.25.171:808/hls/2/index.m3u8#https://live.goodiptv.club/api/bestv.php?id=cctv2hd8m/8000000#http://api2.52tb.xyz/info?id=3&token=20230326xflvzc#http://192.168.0.5:35455/gaoma/cctv2.m3u8#http://192.168.0.5:35455/itv/1000000001000023315.m3u8?cdn=ystenlive#http://192.168.0.5:35455/itv/6000000001000014161.m3u8?cdn=wasusyt#http://112.123.243.37:50085/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0#http://39.164.180.36:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路181』#http://8.138.7.223/tv/mgitv.php?id=9$LR•IPV4『线路190』#http://112.101.78.50:9901/tsfile/live/0002_1.m3u8#http://110.53.52.63:8888/newlive/live/hls/3/live.m3u8
CCTV3,http://221.2.148.205:8154/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路34』#http://8.138.7.223/tv/dl/careryun.php?id=3$LR•IPV4『线路136』#http://222.169.85.8:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0#http://39.164.180.36:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0#http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8#http://183.196.25.171:808/hls/75/index.m3u8#https://live.goodiptv.club/api/bestv.php?id=cctv38m/8000000#http://api2.52tb.xyz/info?id=4&token=20230326xflvzc#http://192.168.0.5:35455/rptv/G_CCTV-3-AVS-4K264.m3u8?license=gitv#http://192.168.0.5:35455/gaoma/cctv3.m3u8#http://192.168.0.5:35455/itv/6000000001000022313.m3u8?cdn=wasusyt#http://192.168.0.5:35455/itv/1000000005000265003.m3u8?cdn=ystenlive#http://112.123.243.37:50085/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0#http://61.156.228.12:8154/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路282』#http://58.57.40.22:9901/tsfile/live/1002_1.m3u8#http://gmxw.7766.org:808/hls/91/index.m3u8#http://112.101.78.50:9901/tsfile/live/0003_1.m3u8
CCTV-3综艺,http://61.156.228.12:8154/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3 综艺,http://[2409:8087:1a01:df::4077]:80/PLTV/88888888/224/3221225799/index.m3u8
CCTV4,http://8.138.7.223/tv/dl/careryun.php?id=6$LR•IPV4『线路151』#http://8.138.7.223/tv/dl/douyincdn.php?id=4$LR•IPV4『线路145』#http://8.138.7.223/tv/dl/careryun.php?id=4$LR•IPV4『线路149』#http://39.164.180.36:19901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0#http://8.138.7.223/tv/dl/careryun.php?id=5$LR•IPV4『线路150』#https://www.freetv.top/migu/608807419.m3u8?migutoken=e2fddc8b0c2fe505d1d8eada5b1f83dd20360ebfe0adcabfc7e64546305a240ee00c76ffab76b1d2091c9b93a868da387c465be6c1e7b46c66996127d6734102a426e7a3478c2fd972b071d5f2$LR•IPV4『线路357』#https://www.freetv.top/migu/608807419.m3u8?migutoken=6a212f7bbb565d15fa1837af03bca5806c8d1522a2c9b34b1ed1c0f3cd23e6d7c4761bb6b35c9de97d923f603f557e6edb2ee11c80decc83bddea897b5c7ac59a7efea8e4796cbbfcf1b3fc93c$LR•IPV4『线路365』#https://www.freetv.top/migu/608807416.m3u8?migutoken=85c9fb128ac91587cf67086436bd4af8631774375811d0d14ba7158ffb2f56b528e7e92a2da4c2f8bd757394265b58efcbccdce316306a1dae700620a73e52c2ab049d8bd223c049567a8c10bf$LR•IPV4『线路374』#https://www.freetv.top/migu/608807416.m3u8?migutoken=94d24df192f212e52d7c222dfab7df5ce4aad53db2766a6c4275a4c1e796cf13fb231906f792af9bc717ce1ccafa62165ebdc66b02fb0882cd5beac443921d36883a491d2b549a5509d63534e1$LR•IPV4『线路381』#http://www.freetv.top/migu/631780421.m3u8?migutoken=7acf39385ea80b0efa77b918418fcf998d00455e8b98e02dff92961440d989e3b7da00ef24731d327c410f2ef9ceb51e2137c20b2b606646542ce4643521747bf78b7533b3ec604bba63ffdf43$LR•IPV4『线路382』#http://183.196.25.171:808/hls/4/index.m3u8#https://live.goodiptv.club/api/bestv.php?id=cctv4hd8m/8000000#http://cyz32.livehbindex.hbcatv.cn/live/5b0dff5235e94ba8bff8731427145289.m3u8?bitrate=2300&pt=5#http://api2.52tb.xyz/info?id=5&token=20230326xflvzc#http://192.168.0.5:35455/gaoma/cctv4.m3u8#http://192.168.0.5:35455/itv/5000000011000031102.m3u8?cdn=bestzb#http://192.168.0.5:35455/itv/1000000005000265004.m3u8?cdn=ystenlive#http://36.136.38.87:9901/tsfile/live/0004_1.m3u8#http://112.101.78.50:9901/tsfile/live/0004_1.m3u8#http://110.53.52.63:8888/newlive/live/hls/5/live.m3u8#http://183.11.239.36:808/hls/22/index.m3u8
CCTV4k,http://192.168.0.5:35455/rptv/G_CCTV-4K-HD.m3u8?license=gitv#http://192.168.0.5:35455/gaoma/cctv4k_10m.m3u8#http://192.168.0.5:35455/gaoma/cctv4k.m3u8
CCTV-4中文国际,http://61.156.228.12:8154/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://39.164.180.36:19901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路192』#http://8.138.7.223/tv/dl/douyincdn.php?id=5$LR•IPV4『线路166』#http://8.138.7.223/tv/dl/careryun.php?id=8$LR•IPV4『线路169』#http://221.2.148.205:8154/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路42』#http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010139/1.m3u8$LR•IPV6『线路23』#http://183.196.25.171:808/hls/78/index.m3u8#https://live.goodiptv.club/api/bestv.php?id=cctv58m/8000000#http://cyz32.livehbindex.hbcatv.cn/live/500000206cd748d58f41b13aa2754139.m3u8?bitrate=2300&pt=5#http://api2.52tb.xyz/info?id=6&token=20230326xflvzc#http://192.168.0.5:35455/rptv/G_CCTV-5-AVS-4K264.m3u8?license=gitv#http://192.168.0.5:35455/gaoma/cctv5.m3u8#http://192.168.0.5:35455/itv/1000000005000025222.m3u8?cdn=ystenlive#http://192.168.0.5:35455/itv/1000000005000265005.m3u8?cdn=ystenlive#http://36.136.38.87:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0#http://58.19.38.162:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路272』#http://58.57.40.22:9901/tsfile/live/1004_1.m3u8#http://1b6467f415.iok.la:9931/tsfile/live/1025_1.m3u8#http://gmxw.7766.org:808/hls/93/index.m3u8#http://112.101.78.50:9901/tsfile/live/0005_1.m3u8
